density,am-prob,pb-prob,am(0.958)-diff,pb(0.964)-diff
0.0,0.98,0.978,0.022,0.014
0.102,0.979,0.977,0.021,0.013
0.204,0.978,0.976,0.02,0.012
0.306,0.977,0.974,0.019,0.01
0.408,0.976,0.973,0.018,0.009
0.51,0.975,0.972,0.017,0.008
0.612,0.974,0.971,0.016,0.007
0.714,0.974,0.97,0.016,0.006
0.816,0.973,0.969,0.015,0.005
0.918,0.972,0.967,0.014,0.003
1.02,0.971,0.966,0.013,0.002
1.122,0.97,0.965,0.012,0.001
1.224,0.969,0.964,0.011,0.0
1.327,0.968,0.963,0.01,-0.001
1.429,0.968,0.961,0.01,-0.003
1.531,0.967,0.96,0.009,-0.004
1.633,0.966,0.959,0.008,-0.005
1.735,0.965,0.958,0.007,-0.006
1.837,0.964,0.957,0.006,-0.007
1.939,0.963,0.956,0.005,-0.008
2.041,0.962,0.955,0.004,-0.009
2.143,0.962,0.953,0.004,-0.011
2.245,0.961,0.952,0.003,-0.012
2.347,0.96,0.951,0.002,-0.013
2.449,0.959,0.95,0.001,-0.014
2.551,0.958,0.949,0.0,-0.015
2.653,0.957,0.948,-0.001,-0.016
2.755,0.957,0.946,-0.001,-0.018
2.857,0.956,0.945,-0.002,-0.019
2.959,0.955,0.944,-0.003,-0.02
3.061,0.954,0.943,-0.004,-0.021
3.163,0.953,0.942,-0.005,-0.022
3.265,0.952,0.941,-0.006,-0.023
3.367,0.952,0.94,-0.006,-0.024
3.469,0.951,0.939,-0.007,-0.025
3.571,0.95,0.937,-0.008,-0.027
3.673,0.949,0.936,-0.009,-0.028
3.776,0.948,0.935,-0.01,-0.029
3.878,0.947,0.934,-0.011,-0.03
3.98,0.947,0.933,-0.011,-0.031
4.082,0.946,0.932,-0.012,-0.032
4.184,0.945,0.931,-0.013,-0.033
4.286,0.944,0.93,-0.014,-0.034
4.388,0.943,0.928,-0.015,-0.036
4.49,0.942,0.927,-0.016,-0.037
4.592,0.942,0.926,-0.016,-0.038
4.694,0.941,0.925,-0.017,-0.039
4.796,0.94,0.924,-0.018,-0.04
4.898,0.939,0.923,-0.019,-0.041
5.0,0.938,0.922,-0.02,-0.042
