density,am-prob,pb-prob,am(0.958)-diff,pb(0.964)-diff,diff-sum,diff-sum-quad
0.0,0.98,0.978,0.022,0.014,0.036,0.00068
0.10204,0.979,0.977,0.021,0.013,0.034,0.00061
0.20408,0.978,0.976,0.02,0.012,0.032,0.00054
0.30612,0.977,0.974,0.019,0.01,0.029,0.00046
0.40816,0.976,0.973,0.018,0.009,0.027,0.00041
0.5102,0.975,0.972,0.017,0.008,0.025,0.00035
0.61224,0.974,0.971,0.016,0.007,0.023,0.00031
0.71429,0.974,0.97,0.016,0.006,0.022,0.00029
0.81633,0.973,0.969,0.015,0.005,0.02,0.00025
0.91837,0.972,0.967,0.014,0.003,0.017,0.00021
1.02041,0.971,0.966,0.013,0.002,0.015,0.00017
1.12245,0.97,0.965,0.012,0.001,0.013,0.00015
1.22449,0.969,0.964,0.011,0.0,0.011,0.00012
1.32653,0.968,0.963,0.01,-0.001,0.011,0.0001
1.42857,0.968,0.962,0.01,-0.002,0.012,0.0001
1.53061,0.967,0.96,0.009,-0.004,0.013,0.0001
1.63265,0.966,0.959,0.008,-0.005,0.013,9e-05
1.73469,0.965,0.958,0.007,-0.006,0.013,9e-05
1.83673,0.964,0.957,0.006,-0.007,0.013,9e-05
1.93878,0.963,0.956,0.005,-0.008,0.013,9e-05
2.04082,0.962,0.955,0.004,-0.009,0.013,0.0001
2.14286,0.962,0.953,0.004,-0.011,0.015,0.00014
2.2449,0.961,0.952,0.003,-0.012,0.015,0.00015
2.34694,0.96,0.951,0.002,-0.013,0.015,0.00017
2.44898,0.959,0.95,0.001,-0.014,0.015,0.0002
2.55102,0.958,0.949,0.0,-0.015,0.015,0.00023
2.65306,0.957,0.948,-0.001,-0.016,0.017,0.00026
2.7551,0.957,0.947,-0.001,-0.017,0.018,0.00029
2.85714,0.956,0.945,-0.002,-0.019,0.021,0.00037
2.95918,0.955,0.944,-0.003,-0.02,0.023,0.00041
3.06122,0.954,0.943,-0.004,-0.021,0.025,0.00046
3.16327,0.953,0.942,-0.005,-0.022,0.027,0.00051
3.26531,0.952,0.941,-0.006,-0.023,0.029,0.00057
3.36735,0.952,0.94,-0.006,-0.024,0.03,0.00061
3.46939,0.951,0.939,-0.007,-0.025,0.032,0.00067
3.57143,0.95,0.938,-0.008,-0.026,0.034,0.00074
3.67347,0.949,0.936,-0.009,-0.028,0.037,0.00086
3.77551,0.948,0.935,-0.01,-0.029,0.039,0.00094
3.87755,0.947,0.934,-0.011,-0.03,0.041,0.00102
3.97959,0.947,0.933,-0.011,-0.031,0.042,0.00108
4.08163,0.946,0.932,-0.012,-0.032,0.044,0.00117
4.18367,0.945,0.931,-0.013,-0.033,0.046,0.00126
4.28571,0.944,0.93,-0.014,-0.034,0.048,0.00135
4.38776,0.943,0.929,-0.015,-0.035,0.05,0.00145
4.4898,0.943,0.928,-0.015,-0.036,0.051,0.00152
4.59184,0.942,0.926,-0.016,-0.038,0.054,0.0017
4.69388,0.941,0.925,-0.017,-0.039,0.056,0.00181
4.79592,0.94,0.924,-0.018,-0.04,0.058,0.00192
4.89796,0.939,0.923,-0.019,-0.041,0.06,0.00204
5.0,0.938,0.922,-0.02,-0.042,0.062,0.00216
