na22   na22   1274.5370 1.980829e-01 3.248182e-03 3.196172e-03 1.251113e-03 1.241848e-03 1.509114e-02 1.491477e-02
co60   co60   1173.2280 1.996589e-01 3.291358e-03 3.227815e-03 1.305542e-03 1.298530e-03 -1.492165e-02 -1.507326e-02
co60   co60   1332.4920 1.998584e-01 3.298406e-03 3.245865e-03 1.309044e-03 1.310905e-03 -1.492165e-02 -1.507326e-02
ba133  ba133  53.1622 1.839427e-01 5.624759e-03 5.532349e-03 4.880990e-03 4.817595e-03 1.504964e-02 1.496019e-02
ba133  ba133  160.6120 2.016968e-01 1.871816e-02 1.830162e-02 1.842031e-02 1.806719e-02 1.504964e-02 1.496019e-02
ba133  ba133  223.2368 1.997284e-01 1.716854e-02 1.696155e-02 1.687188e-02 1.667239e-02 1.504964e-02 1.496019e-02
ba133  ba133  276.3989 1.926238e-01 4.179243e-03 4.109232e-03 2.978263e-03 2.953356e-03 1.504964e-02 1.496019e-02
ba133  ba133  302.8508 1.944490e-01 3.492887e-03 3.421330e-03 1.879509e-03 1.867227e-03 1.504964e-02 1.496019e-02
ba133  ba133  356.0129 1.981317e-01 3.139856e-03 3.090520e-03 9.285946e-04 9.194739e-04 1.504964e-02 1.496019e-02
ba133  ba133  383.8485 1.948241e-01 5.038275e-03 4.967180e-03 4.073891e-03 4.039407e-03 1.504964e-02 1.496019e-02
cs137  cs137  661.6570 1.926246e-01 7.267547e-03 7.148415e-03 6.651884e-03 6.598881e-03 1.509095e-02 1.495014e-02
pb210  pb210  46.5390 4.714030e-01 2.079681e-02 2.052579e-02 1.849161e-02 1.829979e-02 -1.994916e-02 -2.010836e-02
ra226  ra226  186.2110 1.911666e-01 6.614379e-03 6.506485e-03 5.935277e-03 5.898595e-03 1.508525e-02 1.495303e-02
ra226  pb214  53.2284 2.046300e-01 1.181541e-02 1.166540e-02 1.139796e-02 1.129297e-02 1.508525e-02 1.495303e-02
ra226  pb214  241.9950 1.896659e-01 4.366319e-03 4.316295e-03 3.276895e-03 3.269679e-03 1.508525e-02 1.495303e-02
ra226  pb214  258.8600 2.361879e-01 3.145673e-02 3.080774e-02 3.116385e-02 3.064796e-02 1.508525e-02 1.495303e-02
ra226  pb214  274.8000 1.878563e-01 3.270047e-02 3.216253e-02 3.266933e-02 3.219849e-02 1.508525e-02 1.495303e-02
ra226  pb214  295.2228 1.883649e-01 3.394262e-03 3.348162e-03 1.835833e-03 1.826405e-03 1.508525e-02 1.495303e-02
ra226  pb214  351.9321 1.930981e-01 3.220272e-03 3.160440e-03 1.340854e-03 1.336911e-03 1.508525e-02 1.495303e-02
ra226  pb214  462.0200 2.407515e-01 4.505465e-02 4.395918e-02 4.492770e-02 4.378534e-02 1.508525e-02 1.495303e-02
ra226  pb214  480.4320 1.998107e-01 3.038295e-02 2.996626e-02 3.026032e-02 2.981484e-02 1.508525e-02 1.495303e-02
ra226  pb214  487.1400 1.453114e-01 1.927938e-02 1.899220e-02 1.907210e-02 1.887037e-02 1.508525e-02 1.495303e-02
ra226  pb214  580.1400 1.677740e-01 2.632777e-02 2.614721e-02 2.629175e-02 2.594230e-02 1.508525e-02 1.495303e-02
ra226  pb214  785.9600 1.041170e-01 1.923394e-02 1.891535e-02 1.915064e-02 1.882201e-02 1.508525e-02 1.495303e-02
ra226  pb214  839.0700 2.110846e-01 2.076755e-02 2.050438e-02 2.053569e-02 2.024494e-02 1.508525e-02 1.495303e-02
ra226  bi214  386.7800 1.692449e-01 3.846792e-02 3.769481e-02 3.830612e-02 3.756013e-02 1.508525e-02 1.495303e-02
ra226  bi214  388.8900 1.850930e-01 2.853478e-02 2.801981e-02 2.838886e-02 2.789316e-02 1.508525e-02 1.495303e-02
ra226  bi214  454.7900 2.208205e-01 3.531337e-02 3.451360e-02 3.503991e-02 3.438618e-02 1.508525e-02 1.495303e-02
ra226  bi214  609.3200 1.894097e-01 3.200124e-03 3.165047e-03 1.431524e-03 1.424582e-03 1.508525e-02 1.495303e-02
ra226  bi214  665.4470 1.936821e-01 9.534193e-03 9.475785e-03 9.062996e-03 8.989450e-03 1.508525e-02 1.495303e-02
ra226  bi214  703.1100 2.003087e-01 2.357749e-02 2.313904e-02 2.335425e-02 2.302354e-02 1.508525e-02 1.495303e-02
ra226  bi214  719.8700 1.844025e-01 2.534002e-02 2.496322e-02 2.515561e-02 2.480706e-02 1.508525e-02 1.495303e-02
ra226  bi214  768.3600 1.881141e-01 5.435094e-03 5.375795e-03 4.614391e-03 4.580510e-03 1.508525e-02 1.495303e-02
ra226  bi214  806.1800 1.421906e-01 8.223006e-03 8.121135e-03 7.911879e-03 7.873353e-03 1.508525e-02 1.495303e-02
ra226  bi214  934.0560 1.802805e-01 6.999418e-03 6.916133e-03 6.426150e-03 6.397258e-03 1.508525e-02 1.495303e-02
ra226  bi214  964.0800 1.549796e-01 2.958268e-02 2.904774e-02 2.946250e-02 2.905711e-02 1.508525e-02 1.495303e-02
ra226  bi214  1051.9600 2.711105e-01 3.856221e-02 3.758082e-02 3.839180e-02 3.750448e-02 1.508525e-02 1.495303e-02
ra226  bi214  1069.9600 2.129101e-01 4.129716e-02 4.009138e-02 4.118268e-02 4.003390e-02 1.508525e-02 1.495303e-02
ra226  bi214  1120.2940 1.921200e-01 4.033248e-03 3.986969e-03 2.794955e-03 2.789499e-03 1.508525e-02 1.495303e-02
ra226  bi214  1133.6600 1.294915e-01 4.081771e-02 4.035044e-02 4.073790e-02 4.030777e-02 1.508525e-02 1.495303e-02
ra226  bi214  1155.2100 1.881015e-01 1.027601e-02 1.016317e-02 9.859452e-03 9.802596e-03 1.508525e-02 1.495303e-02
ra226  bi214  1207.6800 1.984335e-01 2.645232e-02 2.596874e-02 2.628882e-02 2.592130e-02 1.508525e-02 1.495303e-02
ra226  bi214  1238.1220 1.919293e-01 5.668271e-03 5.607762e-03 4.860130e-03 4.825377e-03 1.508525e-02 1.495303e-02
ra226  bi214  1280.9760 1.858383e-01 1.137669e-02 1.125299e-02 1.100121e-02 1.092616e-02 1.508525e-02 1.495303e-02
ra226  bi214  1377.6690 1.808863e-01 6.664142e-03 6.581920e-03 6.062151e-03 6.025164e-03 1.508525e-02 1.495303e-02
ra226  bi214  1385.3100 1.963440e-01 1.740597e-02 1.718625e-02 1.712096e-02 1.696890e-02 1.508525e-02 1.495303e-02
ra226  bi214  1401.5150 1.970126e-01 1.296952e-02 1.280730e-02 1.259030e-02 1.247080e-02 1.508525e-02 1.495303e-02
ra226  bi214  1407.9880 2.003134e-01 8.985453e-03 8.916977e-03 8.454414e-03 8.438335e-03 1.508525e-02 1.495303e-02
