num      energy        midtime       peakrate            +/-          I*eff          IsoBrconvergence    parent     activROI_Chisq/dofTot_Chisq/dof                                     filename
1       277.371         176385    -0.00898634      0.0125119              0              0    3               tl208  0.826297   1.01742                                             
2        347.14         176385    -0.00414444      0.0088618              0              1    3      co60      co60  0.648292   1.01742                                             
3       583.187         176385    -0.00596292     0.00502251              0              0    3               tl208  0.607151   1.01742                                             
4        609.32         176385   -0.000851405     0.00513434              0              0    3               bi214  0.877567   1.01742                                             
5       665.447         176385    -0.00703324     0.00527325              0              0    3               bi214  0.887173   1.01742                                             
6        763.13         176385    0.000674441     0.00562388              0              0    3               tl208  0.951785   1.01742                                             
7        768.36         176385    -0.00426329     0.00577893              0              0    3               bi214  0.951785   1.01742                                             
8        806.18         176385      0.0101484     0.00618195              0              0    3               bi214   1.31174   1.01742                                             
9         826.1         176385    -0.00449352     0.00693097              0              1    3      co60      co60  0.900996   1.01742                                             
10      860.557         176385      0.0011936     0.00667245              0              0    3               tl208   0.92884   1.01742                                             
11      934.056         176385     -0.0266301     0.00784661              0              0    3               bi214   1.10378   1.01742                                             
12      1120.29         176385     -0.0446229     0.00535964              0              0    3               bi214   1.14832   1.01742                                             
13      1155.21         176385     -0.0034772     0.00457255              0              0    3               bi214  0.946309   1.01742                                             
14      1173.23         176385        12.4276      0.0373404              0              1    3      co60      co60  0.809288   1.01742                                             
17      1332.49         176385        11.5782      0.0342033              0              1    3      co60      co60   1.35108   1.01742                                             
