num      energy        midtime       peakrate            +/-          I*eff          IsoBrconvergence    parent     activROI_Chisq/dofTot_Chisq/dof                                     filename
1        46.539              0     -0.0255417      0.0394902              0              0    3               pb210   1.00374   1.05955                                             
2       53.1622              0       0.768578      0.0106567              0              1    3     ba133     ba133   1.00374   1.05955                                             
4       79.6142              0         1.0487      0.0648589              0              1    3     ba133     ba133  0.778696   1.05955                                             
5       80.9979              0        12.4971      0.0652613              0              1    3     ba133     ba133  0.940883   1.05955                                             
6       160.612              0       0.201319      0.0117919              0              1    3     ba133     ba133  0.981235   1.05955                                             
7       223.237              0       0.126026     0.00682212              0              1    3     ba133     ba133   1.05675   1.05955                                             
8       241.995              0     0.00070017     0.00353449              0              0    3               pb214  0.782179   1.05955                                             
9       276.399              0        1.81622      0.0172633              0              1    3     ba133     ba133  0.953383   1.05955                                             
10      277.371              0      0.0214569      0.0113891              0              0    3               tl208  0.953383   1.05955                                             
11      295.223              0     0.00378825     0.00303562              0              0    3               pb214   0.93731   1.05955                                             
12      302.851              0        4.57864       0.022304              0              1    3     ba133     ba133  0.899474   1.05955                                             
13      351.932              0     0.00451718     0.00159459              0              0    3               pb214   1.15891   1.05955                                             
14      356.013              0        13.8383       0.037947              0              1    3     ba133     ba133   1.14458   1.05955                                             
15      383.849              0        1.89884       0.020776              0              1    3     ba133     ba133  0.845728   1.05955                                             
