num      energy        midtime       peakrate            +/-          I*eff          IsoBrconvergence    parent     activROI_Chisq/dofTot_Chisq/dof                                     filename
1       277.371              0    0.000778693      0.0100024              0              0    3               tl208  0.747966   1.04348                                             
2        347.14              0   -0.000122511     0.00697742              0              1    3      co60      co60   1.21764   1.04348                                             
3       583.187              0     -0.0042446     0.00407767              0              0    3               tl208  0.957907   1.04348                                             
4        609.32              0      0.0028883     0.00391025              0              0    3               bi214  0.977373   1.04348                                             
5       665.447              0    -0.00827012     0.00384169              0              0    3               bi214   0.84871   1.04348                                             
6        763.13              0    0.000795544     0.00529389              0              0    3               tl208    1.0844   1.04348                                             
7        768.36              0     0.00364737     0.00511461              0              0    3               bi214    1.0844   1.04348                                             
8        806.18              0     0.00842558     0.00496979              0              0    3               bi214    1.2966   1.04348                                             
9         826.1              0    -0.00885113     0.00595953              0              1    3      co60      co60   1.01462   1.04348                                             
10      860.557              0     0.00159909     0.00486497              0              0    3               tl208   1.02907   1.04348                                             
11      934.056              0     -0.0165852     0.00654618              0              0    3               bi214  0.821516   1.04348                                             
12      1120.29              0     -0.0362297     0.00413398              0              0    3               bi214   1.30083   1.04348                                             
13      1155.21              0    -0.00987039     0.00337267              0              0    3               bi214  0.841467   1.04348                                             
14      1173.23              0        10.9726      0.0362686              0              1    3      co60      co60  0.906981   1.04348                                             
17      1332.49              0        10.1999      0.0326508              0              1    3      co60      co60  0.556955   1.04348                                             
