num      energy        midtime       peakrate            +/-          I*eff          IsoBrconvergence    parent     activROI_Chisq/dofTot_Chisq/dof                                     filename
1        46.539              0        1.47446      0.0167932              0              0    3               pb210   1.33764   1.02285                                             
2       53.2284              0       0.388221      0.0117271              0              0    3               pb214   1.33764   1.02285                                             
3       186.211              0         1.1979      0.0187951              0              0    3               ra226  0.751299   1.02285                                             
4       241.995              0        2.01733      0.0196033              0              0    3               pb214  0.775215   1.02285                                             
5        258.86              0       0.108968      0.0106333              0              0    3               pb214  0.847437   1.02285                                             
6         274.8              0       0.111129     0.00928421              0              0    3               pb214  0.941215   1.02285                                             
7       277.371              0     -0.0246101     0.00857362              0              0    3               tl208  0.941215   1.02285                                             
8       295.223              0        4.58615      0.0253315              0              0    3               pb214  0.994254   1.02285                                             
9       351.932              0        7.93518      0.0318949              0              0    3               pb214   1.25538   1.02285                                             
10       386.78              0      0.0658892     0.00647767              0              0    3               bi214  0.708053   1.02285                                             
11       388.89              0      0.0790593     0.00656137              0              0    3               bi214  0.708053   1.02285                                             
12       454.79              0       0.057471     0.00519163              0              0    3               bi214   1.04148   1.02285                                             
13       462.02              0      0.0456996     0.00502613              0              0    3               pb214   1.04148   1.02285                                             
14      480.432              0      0.0641045     0.00480651              0              0    3               pb214  0.764224   1.02285                                             
15       487.14              0      0.0926926     0.00499266              0              0    3               pb214  0.764224   1.02285                                             
16       580.14              0      0.0546479     0.00434964              0              0    3               pb214   1.05159   1.02285                                             
17      583.187              0    -0.00910445     0.00319697              0              0    3               tl208   1.05159   1.02285                                             
18       609.32              0        7.32509      0.0291539              0              0    3               bi214    1.3774   1.02285                                             
19      661.657              0       0.010656     0.00282307              0              0    3               cs137    0.7814   1.02285                                             
20      665.447              0       0.229097     0.00622432              0              0    3               bi214    0.7814   1.02285                                             
21       703.11              0      0.0614602     0.00427593              0              0    3               bi214  0.700608   1.02285                                             
22       719.87              0      0.0541306     0.00376744              0              0    3               bi214  0.895747   1.02285                                             
23       763.13              0     0.00292645     0.00266342              0              0    3               tl208  0.810106   1.02285                                             
24       768.36              0       0.686105      0.0100181              0              0    3               bi214  0.810106   1.02285                                             
25       785.96              0       0.172917     0.00617021              0              0    3               pb214   1.07313   1.02285                                             
26       786.35              0      0.0192355     0.00608142              0              0    3               bi214   1.07313   1.02285                                             
27       806.18              0       0.232029     0.00626828              0              0    3               bi214  0.824817   1.02285                                             
28       839.07              0      0.0829227     0.00434599              0              0    3               pb214   1.34596   1.02285                                             
29      860.557              0   -0.000844604     0.00295991              0              0    3               tl208  0.985316   1.02285                                             
30      934.056              0       0.400184     0.00774263              0              0    3               bi214  0.892037   1.02285                                             
31       964.08              0      0.0453237     0.00381227              0              0    3               bi214   1.05071   1.02285                                             
32      1051.96              0       0.033326     0.00328581              0              0    3               bi214   1.00706   1.02285                                             
33      1069.96              0      0.0250076     0.00331093              0              0    3               bi214  0.896858   1.02285                                             
34      1120.29              0        1.70285      0.0141584              0              0    3               bi214   1.22761   1.02285                                             
35      1133.66              0      0.0292313     0.00314393              0              0    3               bi214   1.17396   1.02285                                             
36      1155.21              0       0.182423     0.00565982              0              0    3               bi214   1.20458   1.02285                                             
37      1173.23              0     0.00699539     0.00242609              0              0    3                co60  0.944883   1.02285                                             
38      1207.68              0      0.0530962     0.00327668              0              0    3               bi214  0.908748   1.02285                                             
39      1238.12              0       0.633848     0.00868415              0              0    3               bi214  0.722814   1.02285                                             
40      1280.98              0       0.157097     0.00501989              0              0    3               bi214  0.945944   1.02285                                             
41      1332.49              0     0.00109358     0.00199104              0              0    3                co60  0.784448   1.02285                                             
42      1377.67              0       0.405561     0.00765752              0              0    3               bi214  0.860595   1.02285                                             
43      1385.31              0      0.0837609     0.00405615              0              0    3               bi214  0.860595   1.02285                                             
44      1401.52              0       0.131613      0.0047251              0              0    3               bi214   1.09203   1.02285                                             
45      1407.99              0       0.243908     0.00595594              0              0    3               bi214   1.09203   1.02285                                             
46      1460.82              0    -0.00255493     0.00203712              0              0    3                 k40   1.08545   1.02285                                             
47      1509.21              0       0.210093     0.00551843              0              0    3               bi214  0.999033   1.02285                                             
48      1538.53              0      0.0431291     0.00308508              0              0    3               bi214  0.886588   1.02285                                             
49      1543.34              0      0.0288543     0.00292216              0              0    3               bi214  0.886588   1.02285                                             
50       1583.2              0      0.0642466     0.00334918              0              0    3               bi214  0.855741   1.02285                                             
51      1594.75              0      0.0241209       0.002504              0              0    3               bi214   1.05564   1.02285                                             
52      1599.37              0      0.0209411     0.00230205              0              0    3               bi214   1.05564   1.02285                                             
53      1661.27              0      0.0895496     0.00373577              0              0    3               bi214  0.868374   1.02285                                             
54      1684.01              0      0.0180176     0.00205994              0              0    3               bi214  0.822382   1.02285                                             
55       1729.6              0       0.249402     0.00577438              0              0    3               bi214  0.852947   1.02285                                             
56      1764.49              0        1.29235      0.0128484              0              0    3               bi214  0.921634   1.02285                                             
57      1838.36              0      0.0287526     0.00225538              0              0    3               bi214   1.01105   1.02285                                             
58      1847.43              0       0.166668     0.00473929              0              0    3               bi214   1.01105   1.02285                                             
59      1873.16              0      0.0181231     0.00185447              0              0    3               bi214  0.725346   1.02285                                             
60      2118.51              0       0.086806     0.00338117              0              0    3               bi214   1.05225   1.02285                                             
61      2204.06              0       0.366684     0.00690826              0              0    3               bi214   1.09907   1.02285                                             
62      2293.38              0       0.024953     0.00176491              0              0    3               bi214   1.00032   1.02285                                             
63       2447.7              0       0.108178     0.00360262              0              0    3               bi214  0.937545   1.02285                                             
